year,name,country,hours,minutes
1966,Bobbi Gibb,United States (MA),03.21.40,201
1967,Bobbi Gibb,United States (CA),03.27.17,207
1968,Bobbi Gibb,United States (CA),03.30.00,210
1969,Sara Mae Berman,United States (MA),03.22.46,202
1970,Sara Mae Berman,United States (MA),03.05.07,185
1971,Sara Mae Berman,United States (MA),03.08.30,188
1972,Nina Kuscsik,United States (NY),03.10.26,190
1973,Jacqueline Hansen,United States (CA),03.05.59,185
1974,Miki Gorman,United States (CA),02.47.11,167
1975,Liane Winter,West Germany,02.42.24,162
1976,Kim Merritt,United States (WI),02.47.10,167
1977,Miki Gorman,United States (CA),02.48.33,168
1978,Gayle Barron,United States (GA),02.44.52,164
1979,Joan Benoit,United States (ME),02.35.15,155
1980,Jacqueline Gareau,Canada,02.34.28,154
1981,Allison Roe,New Zealand,02.26.46,146
1982,Charlotte Teske,West Germany,02.29.33,149
1983,Joan Benoit,United States (ME),02.22.43,142
1984,Lorraine Moller,New Zealand,02.29.28,149
1985,Lisa Larsen Weidenbach,United States (MI),02.34.06,154
1986,Ingrid Kristiansen,Norway,02.24.55,144
1987,Rosa Mota,Portugal,02.25.21,145
1988,Rosa Mota,Portugal,02.24.30,144
1989,Ingrid Kristiansen,Norway,02.24.33,144
1990,Rosa Mota,Portugal,02.25.24,145
1991,Wanda Panfil,Poland,02.24.18,144
1992,Olga Markova,Russia,02.23.43,143
1993,Olga Markova,Russia,02.25.27,145
1994,Uta Pippig,Germany,02.21.45,141
1995,Uta Pippig,Germany,02.25.11,145
1996,Uta Pippig,Germany,02.27.12,147
1997,Fatuma Roba,Ethiopia,02.26.23,146
1998,Fatuma Roba,Ethiopia,02.23.21,143
1999,Fatuma Roba,Ethiopia,02.23.25,143
2000,Catherine Ndereba,Kenya,02.26.11,146
2001,Catherine Ndereba,Kenya,02.23.53,143
2002,Margaret Okayo,Kenya,02.20.43,140
2003,Svetlana Zakharova,Russia,02.25.19,145
2004,Catherine Ndereba,Kenya,02.24.27,144
2005,Catherine Ndereba,Kenya,02.25.12,145
2006,Rita Jeptoo,Kenya,02.23.38,143
2007,Lidiya Grigoryeva,Russia,02.29.18,149
2008,Dire Tune,Ethiopia,02.25.25,145
2009,Salina Kosgei,Kenya,02.32.16,152
2010,Teyba Erkesso,Ethiopia,02.26.11,146
2011,Caroline Kilel,Kenya,02.22.36,142
2012,Sharon Cherop,Kenya,02.31.50,151
2013,Rita Jeptoo,Kenya,02.26.25,146
2014,Rita Jeptoo,Kenya,02.18.57,138
2014,Bizunesh Deba,Ethiopia,02.19.59,139
2015,Caroline Rotich,Kenya,02.24.55,144
2016,Atsede Baysa,Ethiopia,02.29.19,149
2017,Edna Kiplagat,Kenya,02.21.52,141
